Annex II, Sec III - Allergenic Fragrances Banned/Restricted in Toys
Note: Group entries are split in different rows.
Export date: 23/02/2026 15:10:32
Header

"Substance Identifier"	""	



""	""	""	""	""	""	""	""	""	
"Name"	"EC / List no"	"CAS no"	"Application Name"	"CAS"	"Labeling requirement(s)"	"Name"	"Restriction(s)"	"Notes"	
"(-)-Carvone"	"229-352-5"	"6485-40-1"	"Any toys"	"6485-40-1"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"(-)-Carvone"	""	""	
"(DL)-Limonene"	"205-341-0"	"138-86-3"	"Any toys"	"138-86-3"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"(DL)-Limonene"	""	""	
"(L)-alpha-Terpineol"	"233-986-8"	"10482-56-1"	"Any toys"	"10482-56-1"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"(L)-alpha-Terpineol"	""	""	
"(R)-(+)-Camphor"	"207-355-2"	"464-49-3"	"Any toys"	"464-49-3"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"(R)-(+)-Camphor"	""	""	
"(Z)-1-(2,6,6-Trimethyl-2-cyclohexen-1-yl)-2-butenone;TMCHB;alpha-Damascone"	"245-845-8"	"23726-94-5"	"Any toys"	"23726-94-5"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"TMCHBalpha-Damascone(Z)-1-(2,6,6-Trimethyl-2-cyclohexen-1-yl)-2-butenone"	""	""	
"1-(1,2,3,4,5,6,7,8-Octahydro-2,3,5,5-tetramethyl-2-naphthyl)ethan-1-one"	"259-175-9"	"54464-59-4"	"Any toys"	"54464-59-4"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"1-(1,2,3,4,5,6,7,8-Octahydro-2,3,5,5-tetramethyl-2-naphthyl)ethan-1-one"	""	""	
"1-(1,2,3,4,5,6,7,8-Octahydro-2,3,8,8-tetramethyl-2-naphthalenyl)ethanone"	"259-174-3"	"54464-57-2"	"Any toys"	"54464-57-2"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"1-(1,2,3,4,5,6,7,8-Octahydro-2,3,8,8-tetramethyl-2-naphthalenyl)ethanone"	""	""	
"1-(2,3,8,8-Tetramethyl-1,2,3,4,6,7,8,8a-octahydronaphthalen-2-yl)ethanone"	"268-979-9"	"68155-67-9"	"Any toys"	"68155-67-9"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"1-(2,3,8,8-Tetramethyl-1,2,3,4,6,7,8,8a-octahydronaphthalen-2-yl)ethanone"	""	""	
"1-(2,3,8,8-Tetramethyl-1,2,3,5,6,7,8,8a-octahydronaphthalen-2-yl)ethanone"	"268-978-3"	"68155-66-8"	"Any toys"	"68155-66-8"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"1-(2,3,8,8-Tetramethyl-1,2,3,5,6,7,8,8a-octahydronaphthalen-2-yl)ethanone"	""	""	
