Cosmetic Products Regulation, Annex IV - Allowed Colorants
Note: Group entries are split in different rows.
Export date: 23/02/2026 15:08:22
Header

"Substance Identifier"	""	



""	""	""	""	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Conditions"	"Conditions"	"Conditions"	"Conditions"	"Conditions"	""	
"Name"	"EC / List no"	"CAS no"	"Ref No."	"Name"	"EC Number"	"CAS"	"Colour Index (CI) Number"	"Colour"	"Physical form"	"Product type, body parts"	"Restriction(s)"	"Maximum Threshold"	"Expressed As"	"Function(s)"	"Notes"	
"(3R)-beta-4-Caroten-3-ol"	"-"	"3763-55-1"	"112"	"(3R)-beta-4-Caroten-3-ol"	""	"3763-55-1"	"75135"	"Yellow"	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"(4-(4-Aminophenyl)(4-iminocyclohexa-2,5-dienylidene)methyl)-2-methylaniline hydrochloride"	"211-189-6"	"632-99-5"	"66"	"(4-(4-Aminophenyl)(4-iminocyclohexa-2,5-dienylidene)methyl)-2-methylaniline hydrochloride"	""	"632-99-5"	"42510"	"Violet"	""	"All cosmetic products except those applied to mucous membranes and when used as a substance in hair dye products"	"Not to be used in products applied to mucous membranes"	""	""	"Colorant"	""	
"1,2-Dihydroxyanthraquinone"	"200-782-5"	"72-48-0"	"86"	"1,2-Dihydroxyanthraquinone"	""	"72-48-0"	"58000"	"Red"	""	"All cosmetic products except when used as a substance in hair dye products"	""	""	""	"Colorant"	""	
"1,3-Isobenzofurandione, reaction products with methylquinoline and quinoline"	"232-318-2"	"8003-22-3"	"81"	"1,3-Isobenzofurandione, reaction products with methylquinoline and quinoline"	""	"8003-22-3"	"47000"	"Yellow"	""	"All cosmetic products except those applied to mucous membranes and when used as a substance in hair dye products"	"Not to be used in products applied to mucous membranes"	""	""	"Colorant"	""	
"1,4-bis(p-Tolylamino)anthraquinone"	"204-909-5"	"128-80-3"	"91"	"1,4-bis(p-Tolylamino)anthraquinone"	""	"128-80-3"	"61565"	"Green"	""	"All cosmetic products except when used as a substance in hair dye products"	""	""	""	"Colorant"	""	
"1-(4-(Phenylazo)phenylazo)-2-naphthol"	"201-638-4"	"85-86-9"	"51"	"1-(4-(Phenylazo)phenylazo)-2-naphthol"	""	"85-86-9"	"26100"	"Red"	""	"All cosmetic products except those applied to mucous membranes and when used as a substance in hair dye products"	"Not to be used in products applied to mucous membranes; Purity criteria: aniline &lt;= 0.2%, 2-naphtol &lt;= 0.2%, 4-aminoazobenzene &lt;= 0.1%, 1-(phenylazo)-2-naphtol &lt;=3%, 1-[2-(phenylazo) phenylazo]-2-napthalenol &lt;= 2%"	""	""	"Colorant"	""	
"1-[(2-Chloro-4-nitrophenyl)azo]-2-naphthol"	"220-562-2"	"2814-77-9"	"9"	"1-[(2-Chloro-4-nitrophenyl)azo]-2-naphthol"	""	"2814-77-9"	"12085"	"Red"	""	"All cosmetic products except when used as a substance in hair dye products"	""	"3 %"	""	"Colorant"	""	
"1-[(4-Methyl-2-nitrophenyl)azo]-2-naphthol"	"219-372-2"	"2425-85-6"	"10"	"1-[(4-Methyl-2-nitrophenyl)azo]-2-naphthol"	""	"2425-85-6"	"12120"	"Red"	""	"Rinse-off products"	""	""	""	"Colorant"	""	
"1-Anilino-4-hydroxyanthraquinone"	"242-939-0"	"19286-75-0"	"88"	"1-Anilino-4-hydroxyanthraquinone"	""	"19286-75-0"	"60724"	"Violet"	""	"Rinse-off products"	""	""	""	"Colorant"	""	
