Cosmetic Products Regulation, Annex V - Allowed Preservatives
Note: Group entries are split in different rows.
Export date: 23/02/2026 15:08:50
Header

"Substance Identifier"	""	



""	""	""	""	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Conditions"	"Conditions"	"Conditions"	"Conditions"	"Conditions"	"Conditions"	""	""	
"Name"	"EC / List no"	"CAS no"	"Ref No."	"Name"	"EC Number"	"CAS"	"Product type, body parts"	"Function(s)"	"Restriction(s)"	"Maximum Threshold"	"Qualifier(s)"	"Expressed As"	"Warning Label"	"Notes"	
"(C12-C18)Alkyldimethylbenzylammonium saccharinate"	"273-545-7"	"68989-01-5"	"54"	"(C12-C18)Alkyldimethylbenzylammonium saccharinate"	"273-545-7"	"68989-01-5"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Benzalkonium chloride, bromide and saccharinate&#39;"	"0.1 %"	""	"As benzalkonium chloride"	"Avoid contact with eyes."	"For use other than as a preservative, see Annex III, No. 65"	
"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, monohydrate and 1,2,3-Propanetricarboxylic acid, 2-hydroxy-, silver(1+) salt, monohydrate"	"460-890-5"	"-"	"59"	"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, monohydrate and 1,2,3-Propanetricarboxylic acid, 2-hydroxy-, silver(1+) salt, monohydrate"	"460-890-5"	""	"All cosmetic products except oral products and eye products"	"Preservative"	"Maximum concentration value is given for &#39;Citric acid (and) Silver citrate&#39;Not to be used in oral products and eye products"	"0.0024 %"	""	"As Ag"	""	""	
"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, monohydrate and 1,2,3-Propanetricarboxylic acid, 2-hydroxy-, silver(1+) salt, monohydrate"	"460-890-5"	"-"	"59"	"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, monohydrate and 1,2,3-Propanetricarboxylic acid, 2-hydroxy-, silver(1+) salt, monohydrate"	"460-890-5"	""	"All cosmetic products except oral products and eye products"	"Preservative"	"Maximum concentration value is given for &#39;Citric acid (and) Silver citrate&#39;Not to be used in oral products and eye products"	"0.2 %"	""	""	""	""	
"1,3-Bis(hydroxymethyl)-5,5-dimethylimidazolidine-2,4-dione"	"229-222-8"	"6440-58-0"	"33"	"1,3-Bis(hydroxymethyl)-5,5-dimethylimidazolidine-2,4-dione"	"229-222-8"	"6440-58-0"	"All cosmetic products"	"Preservative"	""	"0.6 %"	""	""	""	"All finished products containing substances which are listed in this Annex and which release formaldehyde shall be labelled with the warning &#39;&#39;releases formaldehyde&#39;&#39; where the total concentration of formaldehyde released in the finished product exceeds 0,001 % (10 ppm), irrespective of whether the finished product contains one or more substances releasing formaldehyde. However, all finished products containing substances referred to in the first subparagraph which comply with Regulation (EC) No 1223/2009 as applicable on 30 July 2022 may be placed on the Union market until 31 July 2024 and be made available on the Union market until 31 July 2026"	
"1-(4-Chlorophenoxy)-1-(imidazol-1-yl)-3,3-dimethylbutan-2-one"	"253-775-4"	"38083-17-9"	"32"	"1-(4-Chlorophenoxy)-1-(imidazol-1-yl)-3,3-dimethylbutan-2-one"	"253-775-4"	"38083-17-9"	"Hair lotions"	"Preservative"	""	"0.2 %"	""	""	""	"For use other than as a preservative, see Annex III, No. 310From 27 November 2019 cosmetic products containing 1-(4-Chlorophenoxy)-1-(imidazol-1-yl)-3,3-dimethylbutan-2-one and not complying with those conditions shall not be placed on the Union marketFrom 27 February 2020 cosmetic products containing 1-(4-Chlorophenoxy)-1-(imidazol-1-yl)-3,3-dimethylbutan-2-one and not complying with those conditions shall not be made available on the Union market"	
"1-(4-Chlorophenoxy)-1-(imidazol-1-yl)-3,3-dimethylbutan-2-one"	"253-775-4"	"38083-17-9"	"32"	"1-(4-Chlorophenoxy)-1-(imidazol-1-yl)-3,3-dimethylbutan-2-one"	"253-775-4"	"38083-17-9"	"Face creams"	"Preservative"	""	"0.2 %"	""	""	""	"For use other than as a preservative, see Annex III, No. 310From 27 November 2019 cosmetic products containing 1-(4-Chlorophenoxy)-1-(imidazol-1-yl)-3,3-dimethylbutan-2-one and not complying with those conditions shall not be placed on the Union marketFrom 27 February 2020 cosmetic products containing 1-(4-Chlorophenoxy)-1-(imidazol-1-yl)-3,3-dimethylbutan-2-one and not complying with those conditions shall not be made available on the Union market"	
"1-(4-Chlorophenoxy)-1-(imidazol-1-yl)-3,3-dimethylbutan-2-one"	"253-775-4"	"38083-17-9"	"32"	"1-(4-Chlorophenoxy)-1-(imidazol-1-yl)-3,3-dimethylbutan-2-one"	"253-775-4"	"38083-17-9"	"Rinse-off shampoo"	"Preservative"	""	"0.5 %"	""	""	""	"For use other than as a preservative, see Annex III, No. 310From 27 November 2019 cosmetic products containing 1-(4-Chlorophenoxy)-1-(imidazol-1-yl)-3,3-dimethylbutan-2-one and not complying with those conditions shall not be placed on the Union marketFrom 27 February 2020 cosmetic products containing 1-(4-Chlorophenoxy)-1-(imidazol-1-yl)-3,3-dimethylbutan-2-one and not complying with those conditions shall not be made available on the Union market"	
"1-(4-Chlorophenoxy)-1-(imidazol-1-yl)-3,3-dimethylbutan-2-one"	"253-775-4"	"38083-17-9"	"32"	"1-(4-Chlorophenoxy)-1-(imidazol-1-yl)-3,3-dimethylbutan-2-one"	"253-775-4"	"38083-17-9"	"Foot care products"	"Preservative"	""	"0.2 %"	""	""	""	"For use other than as a preservative, see Annex III, No. 310From 27 November 2019 cosmetic products containing 1-(4-Chlorophenoxy)-1-(imidazol-1-yl)-3,3-dimethylbutan-2-one and not complying with those conditions shall not be placed on the Union marketFrom 27 February 2020 cosmetic products containing 1-(4-Chlorophenoxy)-1-(imidazol-1-yl)-3,3-dimethylbutan-2-one and not complying with those conditions shall not be made available on the Union market"	
"1-(4-Chlorophenyl)-3-(3,4-dichlorophenyl) urea"	"202-924-1"	"101-20-2"	"23"	"1-(4-Chlorophenyl)-3-(3,4-dichlorophenyl) urea"	"202-924-1"	"101-20-2"	"All cosmetic products with the exception of mouthwash"	"Preservative"	"Purity criteria: 3,3&#39;,4,4&#39;-Tetrachloroazobenzene ≤ 1 ppm, 3,3&#39;,4,4&#39;-Tetrachloroazoxybenzene ≤ 1 ppmNot to be used in toothpaste intended for children under 6 years of age"	"0.2 %"	""	""	"For toothpaste containing the substance the following labelling is obligatory: &#39;&#39;Not to be used for children under 6 years of age&#39;&#39;"	"Cosmetic products containing that substance that do not comply with the conditions may, provided that they comply with the conditions applicable on 23 April 2024, be placed on the Union market until 31 December 2024 and, if they have already been placed on the market before that date, continue to be made available on the Union market until 31 October 2025For use other than as a preservative, see Annex III, No. 100"	
"1-Hydroxy-4-methyl-6-(2,4,4-trimethylpentyl) 2-pyridon"	"-"	"50650-76-5"	"35"	"1-Hydroxy-4-methyl-6-(2,4,4-trimethylpentyl) 2-pyridon"	""	"50650-76-5"	"Rinse-off products"	"Preservative"	"Maximum concentration value is given for &#39;1-Hydroxy-4-methyl-6-(2,4,4-trimethylpentyl) 2-pyridon and its monoethanolamine salt&#39;"	"1 %"	""	""	""	""	
"1-Hydroxy-4-methyl-6-(2,4,4-trimethylpentyl) 2-pyridon"	"-"	"50650-76-5"	"35"	"1-Hydroxy-4-methyl-6-(2,4,4-trimethylpentyl) 2-pyridon"	""	"50650-76-5"	"Cosmetic products other than rinse-off products"	"Preservative"	"Maximum concentration value is given for &#39;1-Hydroxy-4-methyl-6-(2,4,4-trimethylpentyl) 2-pyridon and its monoethanolamine salt&#39;"	"0.5 %"	""	""	""	""	
"1-Hydroxy-4-methyl-6-(2,4,4-trimethylpentyl) 2-pyridon, monoethanolamine salt"	"272-574-2"	"68890-66-4"	"35"	"1-Hydroxy-4-methyl-6-(2,4,4-trimethylpentyl) 2-pyridon, monoethanolamine salt"	"272-574-2"	"68890-66-4"	"Rinse-off products"	"Preservative"	"Maximum concentration value is given for &#39;1-Hydroxy-4-methyl-6-(2,4,4-trimethylpentyl) 2-pyridon and its monoethanolamine salt&#39;"	"1 %"	""	""	""	""	
"1-Hydroxy-4-methyl-6-(2,4,4-trimethylpentyl) 2-pyridon, monoethanolamine salt"	"272-574-2"	"68890-66-4"	"35"	"1-Hydroxy-4-methyl-6-(2,4,4-trimethylpentyl) 2-pyridon, monoethanolamine salt"	"272-574-2"	"68890-66-4"	"Cosmetic products other than rinse-off products"	"Preservative"	"Maximum concentration value is given for &#39;1-Hydroxy-4-methyl-6-(2,4,4-trimethylpentyl) 2-pyridon and its monoethanolamine salt&#39;"	"0.5 %"	""	""	""	""	
"1-Phenoxypropan-2-ol"	"212-222-7"	"770-35-4"	"43"	"1-Phenoxypropan-2-ol"	"212-222-7"	"770-35-4"	"Rinse-off products"	"Preservative"	"Only for rinse-off products"	"1 %"	""	""	""	"For use other than as a preservative, see Annex III, No. 54"	
"10-Undecenoic acid, calcium salt"	"215-331-8"	"1322-14-1"	"18"	"10-Undecenoic acid, calcium salt"	"215-331-8"	"1322-14-1"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Undec-10-enoic acid and its salts&#39;"	"0.2 %"	""	"As acid"	""	""	
