Cosmetic Products Regulation, Annex VI - Allowed UV Filters
Note: Group entries are split in different rows.
Export date: 23/02/2026 15:09:06
Header

"Substance Identifier"	""	



""	""	""	""	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Conditions"	"Conditions"	"Conditions"	"Conditions"	"Conditions"	""	""	
"Name"	"EC / List no"	"CAS no"	"Ref No."	"Name"	"EC Number"	"CAS"	"Common Ingredients"	"Physical form"	"Product type, body parts"	"Function(s)"	"Maximum Threshold"	"Restriction(s)"	"Expressed As"	"Warning Label"	"Notes"	
"1,1'-(1,4-piperazinediyl) bis[1-[2-[4-(diethylamino)-2-hydroxybenzoyl]phenyl]-methanone; HAA299"	"485-100-6"	"919803-06-8"	"34"	"1,1&#39;-(1,4-piperazinediyl) bis[1-[2-[4-(diethylamino)-2-hydroxybenzoyl]phenyl]-methanone; HAA299"	"485-100-6"	"919803-06-8"	""	"Nano"	"All cosmetic products"	"UV Filter"	"10 %"	"Only nanomaterials having the following characteristics are allowed: &#8212; Purity ≥ 97 % &#8212; Median particle size D50 (50 % of the number below this diameter): ≥ 50 nm of number size distributionNot to be used in applications that may lead to exposure of the end user’s lungs by inhalationIn case of combined use of Bis-(Diethylaminohydroxybenzoyl Benzoyl)Piperazine and Bis-(Diethylaminohydroxybenzoyl Benzoyl)Piperazine (nano), the sum shall not exceed 10 %"	""	""	""	
"1,1'-(1,4-piperazinediyl) bis[1-[2-[4-(diethylamino)-2-hydroxybenzoyl]phenyl]-methanone; HAA299"	"485-100-6"	"919803-06-8"	"33"	"1,1&#39;-(1,4-piperazinediyl) bis[1-[2-[4-(diethylamino)-2-hydroxybenzoyl]phenyl]-methanone; HAA299"	"485-100-6"	"919803-06-8"	""	""	"All cosmetic products"	"UV Filter"	"10 %"	"In case of combined use of Bis-(Diethylaminohydroxybenzoyl Benzoyl)Piperazine and Bis-(Diethylaminohydroxybenzoyl Benzoyl)Piperazine (nano), the sum shall not exceed 10 %"	""	""	""	
"1,3,5-Triazine, 2,4,6-tris [1,1'-biphenyl]-4-yl-"	"479-950-7"	"31274-51-8"	"29"	"1,3,5-Triazine, 2,4,6-tris [1,1&#39;-biphenyl]-4-yl-"	""	"31274-51-8"	""	""	"All cosmetic products"	"UV Filter"	"10 %"	"Not to be used in sprays"	""	""	""	
"1,3,5-Triazine, 2,4,6-tris [1,1'-biphenyl]-4-yl-"	"479-950-7"	"31274-51-8"	"29"	"1,3,5-Triazine, 2,4,6-tris [1,1&#39;-biphenyl]-4-yl-"	""	"31274-51-8"	""	"Nano"	"All cosmetic products"	"UV Filter"	"10 %"	"Not to be used in spraysOnly nanomaterials having the following characteristics are allowed: - Median primary particle size &gt; 80 nm - Purity ≥ 98 % - Uncoated"	""	""	""	
"1-(4-tert-Butylphenyl)-3-(4-methoxyphenyl)propane-1,3-dione;Avobenzone"	"274-581-6"	"70356-09-1"	"8"	"Avobenzone1-(4-tert-Butylphenyl)-3-(4-methoxyphenyl)propane-1,3-dione"	"274-581-6"	"70356-09-1"	""	""	"All cosmetic products"	"UV Filter"	"5 %"	""	""	""	""	
"2,2'-(6-(4-Methoxyphenyl)-1,3,5-triazine-2,4-diyl)bis(5-((2-ethylhexyl)oxy)phenol);Bemotrizinol"	"425-950-7"	"187393-00-6"	"25"	"2,2&#39;-(6-(4-Methoxyphenyl)-1,3,5-triazine-2,4-diyl)bis(5-((2-ethylhexyl)oxy)phenol)Bemotrizinol"	""	"187393-00-6"	""	""	"All cosmetic products"	"UV Filter"	"10 %"	""	""	""	""	
"2,2'-Methylene-bis(6-(2H-benzotriazol-2-yl)-4-(1,1,3,3-tetramethyl-butyl)phenol);Bisoctrizole"	"403-800-1"	"103597-45-1"	"23a"	"Bisoctrizole2,2&#39;-Methylene-bis(6-(2H-benzotriazol-2-yl)-4-(1,1,3,3-tetramethyl-butyl)phenol)"	"403-800-1"	"103597-45-1"	""	"Nano"	"All cosmetic products"	"UV Filter"	"10 %"	"Not to be used in applications that may lead to exposure of the end-user&#39;s lungs by inhalationOnly nanomaterials having the following characteristics are allowed: - Purity ≥ 98.5 %, with 2,2&#39;-methylene-bis-(6(2H-benzotriazol-2-yl)-4-(isooctyl)phenol) isomer fraction not exceeding 1.5 % - Solubility &lt; 5 ng/L in water at 25 °C. - Partition coefficient (Log Pow) 12.7 at 25 °C - Uncoated - Median particle size D50 (50 % of the number below this diameter): ≥ 120 nm of mass distribution and/or ≥ 60 nm of number size distribution"	""	""	"In case of combined use of Methylene Bis-Benzotriazolyl Tetramethylbutylphenol and Methylene Bis-Benzotriazolyl Tetramethylbutylphenol (nano), the sum shall not exceed the limit given in column g"	
"2,2'-Methylene-bis(6-(2H-benzotriazol-2-yl)-4-(1,1,3,3-tetramethyl-butyl)phenol);Bisoctrizole"	"403-800-1"	"103597-45-1"	"23"	"Bisoctrizole2,2&#39;-Methylene-bis(6-(2H-benzotriazol-2-yl)-4-(1,1,3,3-tetramethyl-butyl)phenol)"	"403-800-1"	"103597-45-1"	""	""	"All cosmetic products"	"UV Filter"	"10 %"	""	""	""	"In case of combined use of Methylene Bis-Benzotriazolyl Tetramethylbutylphenol and Methylene Bis-Benzotriazolyl Tetramethylbutylphenol (nano), the sum shall not exceed the limit given in column g"	
"2,4,6-Trianilino-(p-carbo-2'-ethylhexyl-1'-oxy)-1,3,5-triazine"	"402-070-1"	"88122-99-0"	"15"	"2,4,6-Trianilino-(p-carbo-2&#39;-ethylhexyl-1&#39;-oxy)-1,3,5-triazine"	"402-070-1"	"88122-99-0"	""	""	"All cosmetic products"	"UV Filter"	"5 %"	""	""	""	""	
"2-Cyano-3,3-diphenyl acrylic acid, 2-ethylhexyl ester;Octocrilene"	"228-250-8"	"6197-30-4"	"10"	"Octocrilene2-Cyano-3,3-diphenyl acrylic acid, 2-ethylhexyl ester"	"228-250-8"	"6197-30-4"	""	""	"Propellant spray products"	"UV Filter"	"9 %"	""	""	""	"Benzophenone as an impurity and/or degradation product of Octocrylene shall be kept at trace levelCosmetic products containing that substance and complying with the restrictions set out in Regulation (EC) No 1223/2009 as applicable on 27 July 2022 may be placed on the Union market until 28 January 2023 and be made available on the Union market until 28 July 2023"	
"2-Cyano-3,3-diphenyl acrylic acid, 2-ethylhexyl ester;Octocrilene"	"228-250-8"	"6197-30-4"	"10"	"Octocrilene2-Cyano-3,3-diphenyl acrylic acid, 2-ethylhexyl ester"	"228-250-8"	"6197-30-4"	""	""	"Cosmetic products other than propellant spray products"	"UV Filter"	"10 %"	""	""	""	"Benzophenone as an impurity and/or degradation product of Octocrylene shall be kept at trace levelCosmetic products containing that substance and complying with the restrictions set out in Regulation (EC) No 1223/2009 as applicable on 27 July 2022 may be placed on the Union market until 28 January 2023 and be made available on the Union market until 28 July 2023"	
"2-Ethoxyethyl (2Z)-2-cyano-2-[3-(3-methoxypropylamino) cyclohex-2-en-1-ylidene]acetate"	"700-860-3"	"1419401-88-9"	"32"	"2-Ethoxyethyl (2Z)-2-cyano-2-[3-(3-methoxypropylamino) cyclohex-2-en-1-ylidene]acetate"	"700-860-3"	"1419401-88-9"	""	""	"All cosmetic products"	"UV Filter"	"3 %"	"Not to be used in applications that may lead to exposure of the end user&#39;s lungs by inhalationDo not use with nitrosating agentsMaximum nitrosamine content: 50 µg/kgKeep in nitrite-free containers"	""	""	""	
"2-Ethylhexyl 4-(dimethylamino)benzoate;Padimate O (USAN:BAN)"	"244-289-3"	"21245-02-3"	"21"	"2-Ethylhexyl 4-(dimethylamino)benzoatePadimate O (USAN:BAN)"	"244-289-3"	"21245-02-3"	""	""	"All cosmetic products"	"UV Filter"	"8 %"	""	""	""	""	
"2-Ethylhexyl 4-methoxycinnamate;Octinoxate"	"226-775-7"	"5466-77-3"	"12"	"Octinoxate2-Ethylhexyl 4-methoxycinnamate"	"226-775-7"	"5466-77-3"	""	""	"All cosmetic products"	"UV Filter"	"10 %"	""	""	""	""	
"2-Ethylhexyl salicylate;Octisalate"	"204-263-4"	"118-60-5"	"20"	"2-Ethylhexyl salicylateOctisalate"	"204-263-4"	"118-60-5"	""	""	"All cosmetic products"	"UV Filter"	"5 %"	""	""	""	""	
"2-Hydroxy-4-methoxybenzophenone-5-sulfonic acid;Sulisobenzone"	"223-772-2"	"4065-45-6"	"22"	"Sulisobenzone2-Hydroxy-4-methoxybenzophenone-5-sulfonic acid"	"223-772-2"	"4065-45-6"	""	""	"All cosmetic products"	"UV Filter"	"5 %"	""	"As acid"	""	""	
"2-Hydroxy-4-methoxybenzophenone;Oxybenzone"	"205-031-5"	"131-57-7"	"4"	"2-Hydroxy-4-methoxybenzophenoneOxybenzone"	"205-031-5"	"131-57-7"	""	""	"Face products, hand products, and lip products, excluding propellant and pump spray products"	"UV Filter"	"6 %"	"Not more than 0.5% to protect product formulationIf used at 0,5 % to protect product formulation, the levels used as UV filter must not exceed 5,5 %"	""	"Contains Benzophenone-3"	"Warning not required if concentration is 0,5 % or less and when it is used only for product protection purposesCosmetic products containing that substance and complying with the restrictions set out in Regulation (EC) No 1223/2009 as applicable on 27 July 2022 may be placed on the Union market until 28 January 2023 and be made available on the Union market until 28 July 2023"	
"2-Hydroxy-4-methoxybenzophenone;Oxybenzone"	"205-031-5"	"131-57-7"	"4"	"2-Hydroxy-4-methoxybenzophenoneOxybenzone"	"205-031-5"	"131-57-7"	""	""	"Body products, including propellant and pump spray products"	"UV Filter"	"2.2 %"	"Not more than 0.5% to protect product formulationIf used at 0,5 % to protect product formulation, the levels used as UV filter must not exceed 1,7 %"	""	"Contains Benzophenone-3"	"Warning not required if concentration is 0,5 % or less and when it is used only for product protection purposesCosmetic products containing that substance and complying with the restrictions set out in Regulation (EC) No 1223/2009 as applicable on 27 July 2022 may be placed on the Union market until 28 January 2023 and be made available on the Union market until 28 July 2023"	
