canonical_name,cas_number,ec_number,synonyms_json,status
(2-Acetoxyethyl)trimethylammonium hydroxide,51-84-3,200-128-9,[],active
(2-Chloroethyl)(3-hydroxypropyl)ammonium chloride,40722-80-3,429-740-6,"[""ammonium chloride""]",active
"(R) 5,6,6a,7-Tetrahydro-6-methyl-4H-dibenzo[de,g]quinoline-10,11-diol",58-00-4,200-360-0,[],active
"1,3-Dimethylpentylamine",105-41-9,203-296-1,[],active
"1,4-Benzenediamine, 2-methyl-",95-70-5,202-442-1,[],active
"1-Methyl-2,6-bis-(2-hydroxyethylamino)-benzene",149330-25-6,443-210-1,[],active
"2,3-Dichloro-2-methylbutane",507-45-9,827-520-8,[],active
"2,4-Diaminophenoxyethanol HCl",66422-95-5,266-357-1,[],active
"2,5-Diaminotoluene sulphate",615-50-9,210-431-8,[],active
"2-Amino-1,2-bis(4-methoxyphenyl)ethanol",530-34-7,,[],active
2-Amino-4-hydroxyethylaminoanisole sulfate,83763-48-8,280-734-8,[],active
2-Amino-6-chloro-4-nitrophenol,6358-09-4,228-762-1,[],active
4-Amino-3-nitrophenol,610-81-1,210-236-8,[],active
4-Amino-m-cresol,2835-99-6,220-621-2,[],active
4-Aminosalicylic acid,65-49-6,200-613-5,[],active
"9-(3-Methylbut-2-enyloxy)furo[3,2-g]chromen-7-one",482-44-0,207-581-1,[],active
Aconitine (principal alkaloid of Aconitum napellus L.),302-27-2,206-121-7,[],active
"Aconitum napellus L. (leaves, roots and galenical preparations)",84603-50-9,283-252-6,[],active
Acrylamide,79-06-1,201-173-7,[],active
Acrylonitrile,107-13-1,203-466-5,[],active
Adonis vernalis L. and its preparations,84649-73-0,283-458-6,[],active
"Alkyne alcohols, their esters, ethers and salts",,,[],active
Alloclamide,5486-77-1,,[],active
Allyl isothiocyanate,57-06-7,200-309-2,[],active
Aminocaproic acid,60-32-2,200-469-3,[],active
Ammi majus L. and its galenical preparations,90320-46-0,291-072-4,[],active
Ammonia,7664-41-7,231-635-3,[],active
Ammonium hydroxide,1336-21-6,215-647-6,[],active
Aniline,62-53-3,200-539-3,[],active
Anthracene oil,120-12-7,204-371-1,[],active
Antibiotics,,,[],active
Antimony and its compounds,,,[],active
Apocynum cannabinum L. and its preparations,84603-51-0,283-253-1,[],active
Benzidine,92-87-5,202-199-1,[],active
Benzophenone,119-61-9,204-337-6,[],active
Betoxycaine,3818-62-0,,[],active
Boric acid,10043-35-3,233-139-2,[],active
Calcium fluoride,7789-75-5,232-188-7,[],active
Calcium hydroxide,1305-62-0,215-137-3,[],active
Chlorates of alkali metals,,,[],active
Cholecalciferol,67-97-0,200-673-2,[],active
Chromium,7440-47-3,231-157-5,[],active
Cinchophen,132-60-5,205-067-1,[],active
Colloidal silver (nano),7440-22-4,231-131-3,"[""Colloidal silver""]",active
"Compounds or mixtures that release hydrogen peroxide, including carbamide peroxide and zinc peroxide, with the exception of the following substances in Annex II: No 1397, 1398, 1399",,,[],active
Deanol aceglumate,3342-61-8,222-085-5,[],active
Derivatives of cinchophen,,,[],active
Derivatives of procainamide,,,[],active
Dichlorophen,97-23-4,202-567-1,[],active
Dimethylamine,124-40-3,204-697-4,[],active
Epinephrine,51-43-4,200-098-7,[],active
