canonical_name,cas_number,ec_number,synonyms_json,status
SODIUM CHLORIDE,,,[],active
GLYCERIN,,,[],active
LINALOOL,,,[],active
LIMONENE,,,[],active
PHENOXYETHANOL,,,[],active
CITRIC ACID,,,[],active
COCAMIDOPROPYL BETAINE,,,[],active
DISODIUM EDTA,,,[],active
CETEARYL ALCOHOL,,,[],active
SODIUM BENZOATE,,,[],active
SODIUM LAURETH SULFATE,,,[],active
TOCOPHERYL ACETATE,,,[],active
Vitamin-e,,,[],active
CITRONELLOL,,,[],active
Hexyl Cinnamal,,,[],active
GERANIOL,,,[],active
PANTHENOL,,,[],active
Flavouring,,,[],active
CAPRYLYL GLYCOL,,,[],active
ETHYLHEXYLGLYCERIN,,,[],active
GLYCERYL STEARATE,,,[],active
CETYL ALCOHOL,,,[],active
TOCOPHEROL,,,[],active
XANTHAN GUM,,,[],active
DIMETHICONE,,,[],active
BENZYL SALICYLATE,,,[],active
COUMARIN,,,[],active
Eau,,,[],active
MENTHOL,,,[],active
BENZYL ALCOHOL,,,[],active
SODIUM CITRATE,,,[],active
POTASSIUM SORBATE,,,[],active
BUTTER,,,[],active
ALCOHOL DENAT.,,,[],active
CARBOMER,,,[],active
PROPYLENE GLYCOL,,,[],active
Coconut,,,[],active
GLYCOL DISTEARATE,,,[],active
Sunflower,,,[],active
CI 77891,,,[],active
Shea-butter,,,[],active
Vitamins,,,[],active
Vegetable-fat,,,[],active
BUTYLENE GLYCOL,,,[],active
CI 19140,,,[],active
Extract,,,[],active
Caprylic,,,[],active
Dairy,,,[],active
CI 42090,,,[],active
ZINC,,,[],active
Natural extracts,,,[],active
ALPHA-ISOMETHYL IONONE,,,[],active
Fluoride,,,[],active
Capric-triglyceride,,,[],active
CITRAL,,,[],active
VEGETABLE OIL,,,[],active
GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE,,,[],active
Aloe-vera,,,[],active
Cocos-nucifera,,,[],active
STEARIC ACID,,,[],active
Acrylates,,,[],active
Fruit-extract,,,[],active
SODIUM HYALURONATE,,,[],active
PROPANEDIOL,,,[],active
PARAFFINUM LIQUIDUM,,,[],active
No1,,,[],active
E172ii,,,[],active
STEARYL ALCOHOL,,,[],active
METHYLISOTHIAZOLINONE,,,[],active
Butyrospermum-parkii,,,[],active
Ingredient,,,[],active
HYDRATED SILICA,,,[],active
BUTYROSPERMUM PARKII BUTTER,,,[],active
Tetrasodium EDTA,,,[],active
Cereal,,,[],active
Citrus-fruit,,,[],active
ALLANTOIN,,,[],active
MICA,,,[],active
TRIETHANOLAMINE,,,[],active
AROMA,,,[],active
METHYLCHLOROISOTHIAZOLINONE,,,[],active
ISOPROPYL PALMITATE,,,[],active
SODIUM SACCHARIN,,,[],active
ALCOHOL,,,[],active
HELIANTHUS ANNUUS,,,[],active
SORBITOL,,,[],active
C12-15 ALKYL BENZOATE,,,[],active
SALICYLIC ACID,,,[],active
COCAMIDE MEA,,,[],active
EDTA,,,[],active
Polyquaternium,,,[],active
CI 77491,,,[],active
GLYCERYL OLEATE,,,[],active
Vegetal oils,,,[],active
Niacinamide,,,[],active
Glycolic Acid,,,[],active
Retinol,,,[],active
Phytonadione,,,[],active
Ceramides,,,[],active
Arnica Oil,,,[],active
