jurisdiction,product_category,product_subtype,ingredient_lookup_kind,ingredient_lookup_value,rule_type,max_value,max_unit,basis,condition_text,exceptions_text,source_title,source_url,source_clause,effective_from,effective_to,rule_version,last_reviewed_at,status
EU,all,,canonical_name,SODIUM CHLORIDE,allowed,,,,"Permissible watchlist ingredient bootstrap (high prevalence, not in loaded prohibited/restricted bootstrap lists). Observed count in Open Beauty Facts: 3391.",,OBF prevalence permissible bootstrap,https://world.openbeautyfacts.org/facets/ingredients/sodium-chloride,Not in current Annex II/III bootstrap set,2026-02-23,,2026.02.allowed.bootstrap.v1,2026-02-23,active
UK,all,,canonical_name,SODIUM CHLORIDE,allowed,,,,"Permissible watchlist ingredient bootstrap (high prevalence, not in loaded prohibited/restricted bootstrap lists). Observed count in Open Beauty Facts: 3391.",,OBF prevalence permissible bootstrap,https://world.openbeautyfacts.org/facets/ingredients/sodium-chloride,Not in current Annex II/III bootstrap set,2026-02-23,,2026.02.allowed.bootstrap.v1,2026-02-23,active
EU,all,,canonical_name,GLYCERIN,allowed,,,,"Permissible watchlist ingredient bootstrap (high prevalence, not in loaded prohibited/restricted bootstrap lists). Observed count in Open Beauty Facts: 2008.",,OBF prevalence permissible bootstrap,https://world.openbeautyfacts.org/facets/ingredients/glycerin,Not in current Annex II/III bootstrap set,2026-02-23,,2026.02.allowed.bootstrap.v1,2026-02-23,active
UK,all,,canonical_name,GLYCERIN,allowed,,,,"Permissible watchlist ingredient bootstrap (high prevalence, not in loaded prohibited/restricted bootstrap lists). Observed count in Open Beauty Facts: 2008.",,OBF prevalence permissible bootstrap,https://world.openbeautyfacts.org/facets/ingredients/glycerin,Not in current Annex II/III bootstrap set,2026-02-23,,2026.02.allowed.bootstrap.v1,2026-02-23,active
EU,all,,canonical_name,LINALOOL,allowed,,,,"Permissible watchlist ingredient bootstrap (high prevalence, not in loaded prohibited/restricted bootstrap lists). Observed count in Open Beauty Facts: 1981.",,OBF prevalence permissible bootstrap,https://world.openbeautyfacts.org/facets/ingredients/linalool,Not in current Annex II/III bootstrap set,2026-02-23,,2026.02.allowed.bootstrap.v1,2026-02-23,active
UK,all,,canonical_name,LINALOOL,allowed,,,,"Permissible watchlist ingredient bootstrap (high prevalence, not in loaded prohibited/restricted bootstrap lists). Observed count in Open Beauty Facts: 1981.",,OBF prevalence permissible bootstrap,https://world.openbeautyfacts.org/facets/ingredients/linalool,Not in current Annex II/III bootstrap set,2026-02-23,,2026.02.allowed.bootstrap.v1,2026-02-23,active
EU,all,,canonical_name,LIMONENE,allowed,,,,"Permissible watchlist ingredient bootstrap (high prevalence, not in loaded prohibited/restricted bootstrap lists). Observed count in Open Beauty Facts: 1948.",,OBF prevalence permissible bootstrap,https://world.openbeautyfacts.org/facets/ingredients/limonene,Not in current Annex II/III bootstrap set,2026-02-23,,2026.02.allowed.bootstrap.v1,2026-02-23,active
UK,all,,canonical_name,LIMONENE,allowed,,,,"Permissible watchlist ingredient bootstrap (high prevalence, not in loaded prohibited/restricted bootstrap lists). Observed count in Open Beauty Facts: 1948.",,OBF prevalence permissible bootstrap,https://world.openbeautyfacts.org/facets/ingredients/limonene,Not in current Annex II/III bootstrap set,2026-02-23,,2026.02.allowed.bootstrap.v1,2026-02-23,active
EU,all,,canonical_name,PHENOXYETHANOL,allowed,,,,"Permissible watchlist ingredient bootstrap (high prevalence, not in loaded prohibited/restricted bootstrap lists). Observed count in Open Beauty Facts: 1788.",,OBF prevalence permissible bootstrap,https://world.openbeautyfacts.org/facets/ingredients/phenoxyethanol,Not in current Annex II/III bootstrap set,2026-02-23,,2026.02.allowed.bootstrap.v1,2026-02-23,active
UK,all,,canonical_name,PHENOXYETHANOL,allowed,,,,"Permissible watchlist ingredient bootstrap (high prevalence, not in loaded prohibited/restricted bootstrap lists). Observed count in Open Beauty Facts: 1788.",,OBF prevalence permissible bootstrap,https://world.openbeautyfacts.org/facets/ingredients/phenoxyethanol,Not in current Annex II/III bootstrap set,2026-02-23,,2026.02.allowed.bootstrap.v1,2026-02-23,active
