annex,ref_no,name,cas,ec_number,product_type,max_threshold,restriction_text,min_threshold,functions,warning_label,commonness_products_count,commonness_match_variant,source2_name,source2_products_count,source2_match_variant,source2_source_url,combined_commonness_score,source2_products_count_capped_for_score,match_confidence
Annex III,15a,Sodium hydroxide,1310-73-2,215-185-5,Nail cuticle products,5 %,,,Solvent,Contains alkali. Avoid contact with eyes. Can cause blindness. Keep out of reach of children.,826,Sodium hydroxide,incidecoder,29581,Sodium hydroxide,https://incidecoder.com/ingredients/sodium-hydroxide,7.969796,29581,high
Annex III,15a,Sodium hydroxide,1310-73-2,215-185-5,General use products for straightening hair,2 %,For general use,,,Contains alkali. Avoid contact with eyes. Can cause blindness. Keep out of reach of children.,826,Sodium hydroxide,incidecoder,29581,Sodium hydroxide,https://incidecoder.com/ingredients/sodium-hydroxide,7.969796,29581,high
Annex III,15a,Sodium hydroxide,1310-73-2,215-185-5,Professional use products for straightening hair,4.5 %,For professional use,,,For professional use only. Avoid contact with eyes. Can cause blindness.,826,Sodium hydroxide,incidecoder,29581,Sodium hydroxide,https://incidecoder.com/ingredients/sodium-hydroxide,7.969796,29581,high
Annex III,321,Titanium dioxide,13463-67-7,236-675-5,Face products in loose powder form,25 %,Only in the pigmentary form,,,,214,Titanium dioxide,incidecoder,12366,Titanium dioxide,https://incidecoder.com/ingredients/titanium-dioxide,6.788890,12366,high
Annex III,321,Titanium dioxide,13463-67-7,236-675-5,General use hair aerosol spray products,1.4 %,Only in the pigmentary formFor general consumers,,,,214,Titanium dioxide,incidecoder,12366,Titanium dioxide,https://incidecoder.com/ingredients/titanium-dioxide,6.788890,12366,high
Annex III,321,Titanium dioxide,13463-67-7,236-675-5,Professional use hair aerosol spray products,1.1 %,Only in the pigmentary formFor professional use only,,,,214,Titanium dioxide,incidecoder,12366,Titanium dioxide,https://incidecoder.com/ingredients/titanium-dioxide,6.788890,12366,high
Annex III,31,Sodium fluoride,7681-49-4,231-667-8,Oral products,0.15 %,"When mixed with other fluorine compounds permitted under this Annex, total F concentration must not exceed 0.15 %",,,Contains sodium fluoride. For any toothpaste with compounds containing fluorine in a concentration of 0.1 to 0.15 % calculated as F unless it is already labelled as contraindicated for children (e.g. &#39;for adult use only&#39;) the following labelling is obligatory: &#39;Children of 6 years and younger: use a pea-sized amount for supervised brushing to minimise swallowing. In case of intake of fluoride from other sources consult a dentist or doctor.&#39; case of intake of fluoride from other sources consult a dentist or doctor.&#39;,630,Sodium fluoride,incidecoder,127,Sodium fluoride,https://incidecoder.com/ingredients/sodium-fluoride,5.888959,127,high
Annex III,15a,Potassium hydroxide,1310-58-3,215-181-3,Nail cuticle products,5 %,,,Solvent,Contains alkali. Avoid contact with eyes. Can cause blindness. Keep out of reach of children.,71,Potassium hydroxide,incidecoder,6183,Potassium hydroxide,https://incidecoder.com/ingredients/potassium-hydroxide,5.835235,6183,high
Annex III,15a,Potassium hydroxide,1310-58-3,215-181-3,General use products for straightening hair,2 %,For general use,,,Contains alkali. Avoid contact with eyes. Can cause blindness. Keep out of reach of children.,71,Potassium hydroxide,incidecoder,6183,Potassium hydroxide,https://incidecoder.com/ingredients/potassium-hydroxide,5.835235,6183,high
Annex III,15a,Potassium hydroxide,1310-58-3,215-181-3,Professional use products for straightening hair,4.5 %,For professional use,,,For professional use only. Avoid contact with eyes. Can cause blindness.,71,Potassium hydroxide,incidecoder,6183,Potassium hydroxide,https://incidecoder.com/ingredients/potassium-hydroxide,5.835235,6183,high
Annex III,15d,Potassium hydroxide,1310-58-3,215-181-3,Callosity softener/remover,1.5 %,,,,Contains alkali. Avoid contact with eyes. Keep out of reach of children. Read directions for use carefully,71,Potassium hydroxide,incidecoder,6183,Potassium hydroxide,https://incidecoder.com/ingredients/potassium-hydroxide,5.835235,6183,high
Annex III,24,Zinc gluconate,4468-02-4,224-736-9,All cosmetic products,1 %,,,,,100,Zinc gluconate,incidecoder,1929,Zinc gluconate,https://incidecoder.com/ingredients/zinc-gluconate,5.647675,1929,high
Annex III,24,Zinc chloride,7646-85-7,231-592-0,All cosmetic products,1 %,,,,,75,Zinc chloride,incidecoder,405,Zinc chloride,https://incidecoder.com/ingredients/zinc-chloride,4.917200,405,high
Annex III,12,Hydrogen peroxide,7722-84-1,231-765-0,Hair products,12 %,,,,Wear suitable gloves. Contains hydrogen peroxide. Avoid contact with eyes. Rinse immediately if product comes into contact with them.,95,Hydrogen peroxide,incidecoder,123,Hydrogen peroxide,https://incidecoder.com/ingredients/hydrogen-peroxide,4.653925,123,high
Annex III,12,Hydrogen peroxide,7722-84-1,231-765-0,Skin products,4 %,,,,Contains hydrogen peroxide. Avoid contact with eyes. Rinse immediately if product comes into contact with them.,95,Hydrogen peroxide,incidecoder,123,Hydrogen peroxide,https://incidecoder.com/ingredients/hydrogen-peroxide,4.653925,123,high
Annex III,12,Hydrogen peroxide,7722-84-1,231-765-0,Tooth whitening or bleaching products,6 %,"To be only sold to dental practitionersFor each cycle of use, first use by dental practitioners as defined under Directive 2005/36/EC of the European Parliament and of the Council (Directive 2005/36/EC of the European Parliament and of the Council of 7 September 2005 on the recognition of professional qualifications (OJ L 255, 30.9.2005, p. 22)) or under their direct supervision if an equivalent level of safety is ensured. Afterwards to be provided to the consumer to complete the cycle of useNot to be used on a person under 18 years of age",0.1 %,,"Contains hydrogen peroxide. Avoid contact with eyes. Rinse immediately if product comes into contact with them. Concentration of H2O2 present or released indicated in percentage. Not to be used on a person under 18 years of age. To be only sold to dental practitioners. For each cycle of use, the first use to be only done by dental practitioners or under their direct supervision if an equivalent level of safety is ensured. Afterwards to be provided to the consumer to complete the cycle of use.",95,Hydrogen peroxide,incidecoder,123,Hydrogen peroxide,https://incidecoder.com/ingredients/hydrogen-peroxide,4.653925,123,high
Annex III,12,Hydrogen peroxide,7722-84-1,231-765-0,Professional use cosmetic products for eyelashes,2 %,For professional use only,,,Wear suitable gloves. To be printed on the label: &#39;&#39;For professional use only. Avoid contact with eyes. Rinse eyes immediately if product comes into contact with them. Contains hydrogen peroxide.&#39;&#39;,95,Hydrogen peroxide,incidecoder,123,Hydrogen peroxide,https://incidecoder.com/ingredients/hydrogen-peroxide,4.653925,123,high
Annex III,12,Hydrogen peroxide,7722-84-1,231-765-0,Products for hardening nails,2 %,,,,Contains hydrogen peroxide. Avoid contact with eyes. Rinse immediately if product comes into contact with them.,95,Hydrogen peroxide,incidecoder,123,Hydrogen peroxide,https://incidecoder.com/ingredients/hydrogen-peroxide,4.653925,123,high
Annex III,12,Hydrogen peroxide,7722-84-1,231-765-0,"Oral products (including mouth rinse, tooth paste and tooth whitening or bleaching products)",0.1 %,,,,,95,Hydrogen peroxide,incidecoder,123,Hydrogen peroxide,https://incidecoder.com/ingredients/hydrogen-peroxide,4.653925,123,high
Annex III,27,Sodium monofluorophosphate,7631-97-2,231-552-2,Oral products,0.15 %,"When mixed with other fluorine compounds permitted under this Annex, total F concentration must not exceed 0.15 %",,,Contains sodium monofluorophosphate. For any toothpaste with compounds containing fluorine in a concentration of 0.1 to 0.15 % calculated as F unless it is already labelled as contraindicated for children (e.g. &#39;for adult use only&#39;) the following labelling is obligatory: &#39;Children of 6 years and younger: use a pea-sized amount for supervised brushing to minimise swallowing. In case of intake of fluoride from other sources consult a dentist or doctor.&#39;,66,Sodium monofluorophosphate,incidecoder,74,Sodium monofluorophosphate,https://incidecoder.com/ingredients/sodium-monofluorophosphate,4.244171,74,high
Annex III,372,Hydroxyapatite,1306-06-5,215-145-7,Toothpaste,10 %,"Not to be used in applications that may lead to exposure of the end-user&#39;s lungs by inhalationOnly nanomaterials having the following characteristics are allowed: - [composed of] rod-shaped particles of which at least 95.8 % (in particle number) have an aspect ratio less than 3, and the remaining 4.2 % have an aspect ratio not exceeding 4.9 - the particles are not coated or surface modified",,,,24,Hydroxyapatite,incidecoder,314,Hydroxyapatite,https://incidecoder.com/ingredients/hydroxyapatite,4.105670,314,high
Annex III,372,Hydroxyapatite,1306-06-5,215-145-7,Mouthwash,0.465 %,"Not to be used in applications that may lead to exposure of the end-user&#39;s lungs by inhalationOnly nanomaterials having the following characteristics are allowed: - [composed of] rod-shaped particles of which at least 95.8 % (in particle number) have an aspect ratio less than 3, and the remaining 4.2 % have an aspect ratio not exceeding 4.9 - the particles are not coated or surface modified",,,,24,Hydroxyapatite,incidecoder,314,Hydroxyapatite,https://incidecoder.com/ingredients/hydroxyapatite,4.105670,314,high
Annex III,217,m-Aminophenol,591-27-5,209-711-2,Hair dye substance in oxidative hair dye products,1.2 %,After mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 1.2 %,,,"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;",59,m-Aminophenol,incidecoder,54,m-Aminophenol,https://incidecoder.com/ingredients/m-aminophenol,4.063891,54,high
Annex III,217,m-Aminophenol,591-27-5,209-711-2,Professional use cosmetic products for coloring eyelashes,1.2 %,After mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 1.2 %For professional use only,,,"To be printed on the label: The mixing ratio. &#39;&#39;For professional use only. This product can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase the risk of allergy. Eyelashes shall not be coloured if the consumer: has a rash on the face or sensitive, irritated and damaged scalp, has experienced any reaction after colouring hair or eyelashes, has experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Rinse eyes immediately if product comes into contact with them.&#39;&#39;",59,m-Aminophenol,incidecoder,54,m-Aminophenol,https://incidecoder.com/ingredients/m-aminophenol,4.063891,54,high
Annex III,217,Salts of m-Aminophenol,-,-,Professional use cosmetic products for coloring eyelashes,1.2 %,After mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 1.2 %For professional use only,,,"To be printed on the label: The mixing ratio. &#39;&#39;For professional use only. This product can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase the risk of allergy. Eyelashes shall not be coloured if the consumer: has a rash on the face or sensitive, irritated and damaged scalp, has experienced any reaction after colouring hair or eyelashes, has experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Rinse eyes immediately if product comes into contact with them.&#39;&#39;",59,m-Aminophenol,incidecoder,54,m-Aminophenol,https://incidecoder.com/ingredients/m-aminophenol,4.063891,54,high
Annex III,217,Salts of m-Aminophenol,-,-,Hair dye substance in oxidative hair dye products,1.2 %,After mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 1.2 %,,,"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;",59,m-Aminophenol,incidecoder,54,m-Aminophenol,https://incidecoder.com/ingredients/m-aminophenol,4.063891,54,high
Annex III,242,"2,4-Diaminophenoxyethanol HCl",66422-95-5,266-357-1,Hair dye substance in oxidative hair dye products,2 %,After mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 2.0 % (as hydrochloride),,,"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;",26,"2,4-Diaminophenoxyethanol HCl",incidecoder,30,"2,4-Diaminophenoxyethanol HCl",https://incidecoder.com/ingredients/2-4-diaminophenoxyethanol-hcl,3.344189,30,high
Annex III,242,"2,4-Diaminophenoxyethanol HCl",66422-95-5,266-357-1,Professional use cosmetic products for coloring eyelashes,2 %,After mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 2.0 % (as hydrochloride)For professional use only,,,"To be printed on the label: The mixing ratio. &#39;&#39;For professional use only. This product can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase the risk of allergy. Eyelashes shall not be coloured if the consumer: has a rash on the face or sensitive, irritated and damaged scalp, has experienced any reaction after colouring hair or eyelashes, has experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Rinse eyes immediately if product comes into contact with them.&#39;&#39;",26,"2,4-Diaminophenoxyethanol HCl",incidecoder,30,"2,4-Diaminophenoxyethanol HCl",https://incidecoder.com/ingredients/2-4-diaminophenoxyethanol-hcl,3.344189,30,high
Annex III,4,Ammonium hydroxide,1336-21-6,215-647-6,All cosmetic products,6 %,,,,Above 2 %: Contains ammonia,5,Ammonium hydroxide,incidecoder,416,Ammonium hydroxide,https://incidecoder.com/ingredients/ammonium-hydroxide,3.276224,416,high
Annex III,15c,Calcium hydroxide,1305-62-0,215-137-3,Hair straightening products,7 %,,,,Contains alkali. Avoid contact with eyes. Can cause blindness. Keep out of reach of children.,6,Calcium hydroxide,incidecoder,94,Calcium hydroxide,https://incidecoder.com/ingredients/calcium-hydroxide,2.858699,94,high
Annex III,245,2-Amino-4-hydroxyethylaminoanisole sulfate,83763-48-8,280-734-8,Professional use cosmetic products for coloring eyelashes,1.5 %,After mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 1.5 % (as sulphate)Do not use with nitrosating agentsMaximum nitrosamine content: 50 μg /kgKeep in nitrite-free containersFor professional use only,,,"To be printed on the label: The mixing ratio. &#39;&#39;For professional use only. This product can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase the risk of allergy. Eyelashes shall not be coloured if the consumer: has a rash on the face or sensitive, irritated and damaged scalp, has experienced any reaction after colouring hair or eyelashes, has experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Rinse eyes immediately if product comes into contact with them.&#39;&#39;",7,2-Amino-4-hydroxyethylaminoanisole sulfate,incidecoder,14,2-Amino-4-hydroxyethylaminoanisole sulfate,https://incidecoder.com/ingredients/2-amino-4-hydroxyethylaminoanisole-sulfate,2.299455,14,high
Annex III,245,2-Amino-4-hydroxyethylaminoanisole sulfate,83763-48-8,280-734-8,Hair dye substance in oxidative hair dye products,1.5 %,After mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 1.5 % (as sulphate)Do not use with nitrosating agentsMaximum nitrosamine content: 50 μg /kgKeep in nitrite-free containers,,,"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;",7,2-Amino-4-hydroxyethylaminoanisole sulfate,incidecoder,14,2-Amino-4-hydroxyethylaminoanisole sulfate,https://incidecoder.com/ingredients/2-amino-4-hydroxyethylaminoanisole-sulfate,2.299455,14,high
