annex,ref_no,name,cas,ec_number,product_type,max_threshold,min_threshold,functions,restriction_text,warning_label
Annex III,2a,Salts of Thioglycolic acid,-,-,General use products for hair waving or straightening,8 %,,,For general use,Conditions of use: Avoid contact with eyes. Rinse eyes immediately if product comes into contact with them. Wear suitable gloves. Warnings to be printed on the label: Contains thioglycolate. Follow the instructions. Keep out of reach of children.
Annex III,2a,Salts of Thioglycolic acid,-,-,Depilatories,5 %,,,,Conditions of use: Avoid contact with eyes. Rinse eyes immediately if product comes into contact with them. Warnings to be printed on the label: Contains thioglycolate. Follow the instructions. Keep out of reach of children.
Annex III,2a,Salts of Thioglycolic acid,-,-,Products intended for eyelash waving,11 %,,,For professional use only,Conditions of use: Avoid contact with eyes. Rinse eyes immediately if product comes into contact with them. Wear suitable gloves. Warnings to be printed on the label: For professional use only. Contains thioglycolate. Follow the instructions.
Annex III,2a,Salts of Thioglycolic acid,-,-,Professional use products for hair waving or straightening,11 %,,,For professional use only,Conditions of use: Avoid contact with eyes. Rinse eyes immediately if product comes into contact with them. Wear suitable gloves. Warnings to be printed on the label: For professional use only. Contains thioglycolate. Follow the instructions.
Annex III,2a,Salts of Thioglycolic acid,-,-,Rinse-off hair products other than hair waving and straightening products and depilatories,2 %,,,,Conditions of use: Avoid contact with eyes. Rinse eyes immediately if product comes into contact with them. Wear suitable gloves. Warnings to be printed on the label: Contains thioglycolate. Follow the instructions. Keep out of reach of children.
Annex III,2a,Thioglycolic acid,68-11-1,200-677-4,Professional use products for hair waving or straightening,11 %,,,For professional use only,Conditions of use: Avoid contact with eyes. Rinse eyes immediately if product comes into contact with them. Wear suitable gloves. Warnings to be printed on the label: For professional use only. Contains thioglycolate. Follow the instructions.
Annex III,2a,Thioglycolic acid,68-11-1,200-677-4,General use products for hair waving or straightening,8 %,,,For general use,Conditions of use: Avoid contact with eyes. Rinse eyes immediately if product comes into contact with them. Wear suitable gloves. Warnings to be printed on the label: Contains thioglycolate. Follow the instructions. Keep out of reach of children.
Annex III,2a,Thioglycolic acid,68-11-1,200-677-4,Rinse-off hair products other than hair waving and straightening products and depilatories,2 %,,,,Conditions of use: Avoid contact with eyes. Rinse eyes immediately if product comes into contact with them. Wear suitable gloves. Warnings to be printed on the label: Contains thioglycolate. Follow the instructions. Keep out of reach of children.
Annex III,2a,Thioglycolic acid,68-11-1,200-677-4,Depilatories,5 %,,,,Conditions of use: Avoid contact with eyes. Rinse eyes immediately if product comes into contact with them. Warnings to be printed on the label: Contains thioglycolate. Follow the instructions. Keep out of reach of children.
Annex III,2a,Thioglycolic acid,68-11-1,200-677-4,Products intended for eyelash waving,11 %,,,For professional use only,Conditions of use: Avoid contact with eyes. Rinse eyes immediately if product comes into contact with them. Wear suitable gloves. Warnings to be printed on the label: For professional use only. Contains thioglycolate. Follow the instructions.
Annex III,2b,Thioglycolic acid esters,-,-,General use products for hair waving or straightening,8 %,,,For general use,"Conditions of use: May cause sensitization in the event of skin contact. Avoid contact with eyes. In the event of contact with eyes, rinse immediately with plenty of water and seek medical advice. Wear suitable gloves. Warnings: Contains thioglycolate. Follow the instructions. Keep out of reach of children."
Annex III,2b,Thioglycolic acid esters,-,-,Professional use products for hair waving or straightening,11 %,,,For professional use only,"Conditions of use: May cause sensitization in the event of skin contact. Avoid contact with eyes. In the event of contact with eyes, rinse immediately with plenty of water and seek medical advice. Wear suitable gloves. Warnings: Contains thioglycolate. Follow the instructions. Keep out of reach of children. For professional use only."
Annex III,3,Esters and alkaline salts of Oxalic acid,-,-,Hair products,5 %,,,For professional use only,For professional use only
Annex III,3,Oxalic acid,144-62-7,205-634-3,Hair products,5 %,,,For professional use only,For professional use only
Annex III,4,Ammonia,7664-41-7,231-635-3,All cosmetic products,6 %,,,,Above 2 %: Contains ammonia
Annex III,4,Ammonium hydroxide,1336-21-6,215-647-6,All cosmetic products,6 %,,,,Above 2 %: Contains ammonia
Annex III,5,Tosylchloramide sodium (INN),127-65-1,204-854-7,All cosmetic products,0.2 %,,,,
Annex III,6,Chlorates of alkali metals,-,-,Toothpaste,5 %,,,,
Annex III,6,Chlorates of alkali metals,-,-,Cosmetic products other than toothpaste,3 %,,,,
Annex III,6,Potassium chlorate,3811-04-9,223-289-7,Toothpaste,5 %,,,,
Annex III,6,Potassium chlorate,3811-04-9,223-289-7,Cosmetic products other than toothpaste,3 %,,,,
Annex III,6,Sodium chlorate,7775-09-9,231-887-4,Toothpaste,5 %,,,,
Annex III,6,Sodium chlorate,7775-09-9,231-887-4,Cosmetic products other than toothpaste,3 %,,,,
Annex III,8,"N-substituted derivatives of o-Phenylenediamine, with exception of those derivatives listed elsewhere in this Annex and under reference numbers 1309, 1311, and 1312 in Annex II",-,-,Professional use hair dye substance in oxidative hair dye products,3 %,,,For professional use onlyAfter mixing under oxidative conditions the maximum concentration applied to hair must not exceed 3 % calculated as free base,"To be printed on the label: The mixing ratio. &#39;&#39;For professional use only. Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Contains phenylenediamines. Wear suitable gloves.&#39;&#39;"
Annex III,8,"N-substituted derivatives of p-Phenylenediamine, with exception of those derivatives listed elsewhere in this Annex and under reference numbers 1309, 1311, and 1312 in Annex II",-,-,General use hair dye substance in oxidative hair dye products,3 %,,,For general useAfter mixing under oxidative conditions the maximum concentration applied to hair must not exceed 3 % calculated as free base,"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Contains phenylenediamines. Do not use to dye eyelashes or eyebrows.&#39;&#39;"
Annex III,8,Salts of N-substituted derivatives of p-Phenylenediamine,-,-,General use hair dye substance in oxidative hair dye products,3 %,,,For general useAfter mixing under oxidative conditions the maximum concentration applied to hair must not exceed 3 % calculated as free base,"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Contains phenylenediamines. Do not use to dye eyelashes or eyebrows.&#39;&#39;"
Annex III,8a,p-Phenylenediamine,106-50-3,203-404-7,General use hair dye substance in oxidative hair dye products,2 %,,,For general useAfter mixing under oxidative conditions the maximum concentration applied to hair must not exceed 2 % calculated as free base,"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Contains phenylenediamines. Do not use to dye eyelashes or eyebrows.&#39;&#39;"
Annex III,8a,p-Phenylenediamine,106-50-3,203-404-7,Professional use hair dye substance in oxidative hair dye products,2 %,,,For professional use onlyAfter mixing under oxidative conditions the maximum concentration applied to hair must not exceed 2 % calculated as free base,"To be printed on the label: The mixing ratio. &#39;&#39;For professional use only. Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Contains phenylenediamines. Wear suitable gloves.&#39;&#39;"
