Detergents Regulation - Content Labelling
Note: Group entries are split in different rows.
Export date: 23/02/2026 15:09:35
Header

"Substance Identifier"	""	



""	""	""	""	""	""	
"Name"	"EC / List no"	"CAS no"	"Name"	"CAS"	"Cut off (%)"	
"Aliphatic hydrocarbons"	"-"	"-"	"Aliphatic hydrocarbons"	""	"0.2 %"	
"Allergenic fragrances that appear in Annex III, Part 1 of Directive 76/768/EEC, as amended"	"-"	"-"	"Allergenic fragrances that appear in Annex III, Part 1 of Directive 76/768/EEC, as amended"	""	"0.01 %"	
"Amphoteric surfactants"	"-"	"-"	"Amphoteric surfactants"	""	"0.2 %"	
"Anionic surfactants"	"-"	"-"	"Anionic surfactants"	""	"0.2 %"	
"Aromatic hydrocarbons"	"-"	"-"	"Aromatic hydrocarbons"	""	"0.2 %"	
"Cationic surfactants"	"-"	"-"	"Cationic surfactants"	""	"0.2 %"	
"Chlorine-based bleaching agents"	"-"	"-"	"Chlorine-based bleaching agents"	""	"0.2 %"	
"Disinfectants"	"-"	"-"	"Disinfectants"	""	""	
"EDTA"	"200-449-4"	"60-00-4"	"EDTA"	"60-00-4"	"0.2 %"	
"Enzymes"	"-"	"-"	"Enzymes"	""	""	
"Halogenated hydrocarbons"	"-"	"-"	"Halogenated hydrocarbons"	""	"0.2 %"	
"Hexachlorobenzene"	"204-273-9"	"118-74-1"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1,3-dichloro-5-iodobenzene"	"221-216-3"	"3032-81-3"	"Halogenated hydrocarbons"	""	"0.2 %"	
"Hexafluorobenzene"	"206-876-2"	"392-56-3"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1,4-dibromotetrafluorobenzene"	"206-448-5"	"344-03-6"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1,2,4-tribromobenzene"	"210-433-9"	"615-54-3"	"Halogenated hydrocarbons"	""	"0.2 %"	
"3-fluoroiodobenzene"	"214-339-9"	"1121-86-4"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1,4-dibromo-2,5-difluorobenzene"	"206-317-2"	"327-51-5"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1-bromo-2,4,5-trichlorobenzene"	"249-775-9"	"29682-44-8"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1,2-dichloro-4-iodobenzene"	"243-874-0"	"20555-91-3"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1-bromo-2,4-difluorobenzene"	"206-479-4"	"348-57-2"	"Halogenated hydrocarbons"	""	"0.2 %"	
"Benzene, bromofluoro-"	"-"	"30135-88-7"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1-bromo-2-iodobenzene"	"209-508-9"	"583-55-1"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1-bromo-2,3-dichlorobenzene"	"260-476-2"	"56961-77-4"	"Halogenated hydrocarbons"	""	"0.2 %"	
"Hexabromobenzene"	"201-773-9"	"87-82-1"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1-chloro-2-iodobenzene"	"210-423-4"	"615-41-8"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1-bromo-2,3,5,6-tetrafluorobenzene"	"216-327-9"	"1559-88-2"	"Halogenated hydrocarbons"	""	"0.2 %"	
"Dichlorobenzene"	"246-837-7"	"25321-22-6"	"Halogenated hydrocarbons"	""	"0.2 %"	
"4-bromo-1,2-dichlorobenzene"	"242-160-6"	"18282-59-2"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1,4-dichlorobenzene"	"203-400-5"	"106-46-7"	"Halogenated hydrocarbons"	""	"0.2 %"	
"4-bromo-1,2-difluorobenzene"	"206-481-5"	"348-61-8"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1-bromo-4-fluorobenzene"	"207-300-2"	"460-00-4"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1,2-dichloro-4-fluorobenzene"	"215-858-3"	"1435-49-0"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1,2,4-trifluorobenzene"	"206-684-9"	"367-23-7"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1-bromo-2,4,6-trifluorobenzene"	"219-125-9"	"2367-76-2"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1,2,3,5-tetrabromobenzene"	"622-156-4"	"634-89-9"	"Halogenated hydrocarbons"	""	"0.2 %"	
"Bromopentafluorobenzene"	"206-449-0"	"344-04-7"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1,4-dichloro-2-iodobenzene"	"249-774-3"	"29682-41-5"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1,2,4,5-tetrabromobenzene"	"211-253-3"	"636-28-2"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1,3-dibromotetrafluorobenzene"	"216-326-3"	"1559-87-1"	"Halogenated hydrocarbons"	""	"0.2 %"	
