Toy Safety Directive - Substances Restricted in Toys
Note: Group entries are split in different rows.
Export date: 23/02/2026 15:10:15
Header

"Substance Identifier"	""	



""	""	""	""	""	""	""	""	""	""	""	""	
"Name"	"EC / List no"	"CAS no"	"Name"	"CAS"	"Application Name"	"Expressed As"	"Content limit"	"Emission Limit"	"Restriction(s)"	"SML"	"Notes"	
"1,2-benzisothiazol-3(2H)-one"	"220-120-9"	"2634-33-5"	"1,2-benzisothiazol-3(2H)-one"	"2634-33-5"	"Toys intended for use by children under 36 months or in other toys intended to be placed in the mouth"	""	"5 mg/kg"	""	"Allowed to use in aqueous toy materials if comply with content limit, in accordance with the methods laid down in EN 71-10:2005 and EN 71-11:2005"	""	"Appendix C to Annex II"	
"2-methylisothiazolin-3(2H)-one"	"220-239-6"	"2682-20-4"	"2-methylisothiazolin-3(2H)-one"	"2682-20-4"	"Toys intended for use by children under 36 months or in other toys intended to be placed in the mouth"	""	"0.25 mg/kg"	""	"Allowed to use in aqueous toy materials if comply with content limit"	""	"Appendix C to Annex II"	
"5-Chloro-2-methyl-isothiazolin-3(2H)-one"	"247-500-7"	"26172-55-4"	"5-Chloro-2-methyl-isothiazolin-3(2H)-one"	"26172-55-4"	"Toys intended for use by children under 36 months or in other toys intended to be placed in the mouth"	""	"0.75 mg/kg"	""	"Allowed to use in aqueous toy materials if comply with content limit"	""	"Appendix C to Annex II"	
"Aluminium and its compounds"	"-"	"-"	"Aluminium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As aluminium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"2250 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Aluminium and its compounds"	"-"	"-"	"Aluminium and its compounds"	""	"Liquid or sticky toy material"	"As aluminium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"560 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Aluminium and its compounds"	"-"	"-"	"Aluminium and its compounds"	""	"Scraped-off toy material"	"As aluminium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"28130 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Aniline"	"200-539-3"	"62-53-3"	"Aniline"	"62-53-3"	"Toys intended for use by children under 36 months or in other toys intended to be placed in the mouth"	""	"30 mg/kg"	""	"Limit value after reductive cleavage in textile toy material and leather toy material"	""	"Appendix C to Annex II"	
"Aniline"	"200-539-3"	"62-53-3"	"Aniline"	"62-53-3"	"Toys intended for use by children under 36 months or in other toys intended to be placed in the mouth"	""	"10 mg/kg"	""	"Limit value as free aniline in finger paints"	""	"Appendix C to Annex II"	
"Aniline"	"200-539-3"	"62-53-3"	"Aniline"	"62-53-3"	"Toys intended for use by children under 36 months or in other toys intended to be placed in the mouth"	""	"30 mg/kg"	""	"Limit value after reductive cleavage in finger paints"	""	"Appendix C to Annex II"	
"Antimony and its compounds"	"-"	"-"	"Antimony and its compounds"	""	"Liquid or sticky toy material"	"As antimony"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"11.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Antimony and its compounds"	"-"	"-"	"Antimony and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As antimony"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"45 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Antimony and its compounds"	"-"	"-"	"Antimony and its compounds"	""	"Scraped-off toy material"	"As antimony"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"560 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
