"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  US$","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  US$","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
36.,"Boiron Arnicare Gel - Non-Greasy and Fragrance-Free - 2.6 oz","B00HCQEYCK","https://www.amazon.com/dp/B00HCQEYCK?psc=1","https://m.media-amazon.com/images/I/71-nDB9WZ6L._AC_SY450_.jpg","Boiron",8.54,"27,960","19,032","N/A","292,354.7","160,629.01",60,423,"AMZ",3.55,8,4.6,"56,321",9,110,"Amazon","Health & Household","Large Standard-Size","AMZ","5.90 x 1.46 x 2.20 in",0.2,"N/A","Dec 14, 2013",,"No",146,"Amazon"
15.,"Boiron Arnicare Cream for Joint Pain, Muscle Pain, Swelling, Soreness, Stiffness, and Bruises - Fast Absorbing and Fragrance-Free - 4.2 oz","B07G1KKZNN","https://www.amazon.com/dp/B07G1KKZNN?psc=1","https://m.media-amazon.com/images/I/81D3e+hG7iL._AC_SX569_.jpg","Boiron",13.42,"20,460","2,832","N/A","178,441.21","38,682.73",138,"1,753","AMZ",5.96,3,4.6,"16,918",9,143,"Amazon","Health & Household","Large Standard-Size","AMZ","6.90 x 1.75 x 2.44 in",0.33,"N/A","Sep 25, 2018",,"No",89,"Amazon"
47.,"Boiron Arnicare Cream for Relief for Joint Pain, Muscle Pain, Muscle Soreness, and Swelling from Bruises or Injury - Fast Absorbing and Fragrance-Free - 1.3 oz","B005P0M0BW","https://www.amazon.com/dp/B005P0M0BW?psc=1","https://m.media-amazon.com/images/I/81Ka-Rjl4hL._AC_SX522_.jpg","Boiron",6.59,"20,460","11,494","N/A","178,441.21","72,440.28",159,"1,753","AMZ","N/A",6,4.6,"16,918",8,150,"Amazon","Health & Household","Large Standard-Size","AMZ","4.88 x 1.30 x 1.73 in",0.11,"N/A","Dec 7, 2003",,"No",266,"Amazon"
7.,"Boiron Arnicare Bruise Cream for Pain Relief from Bruising and Swelling or Discoloration from Injury - 1.4 oz","B099X664Q6","https://www.amazon.com/dp/B099X664Q6?psc=1","https://m.media-amazon.com/images/I/81R6z3TMFcL._AC_SX679_.jpg","Boiron",7.41,"13,991","13,991","N/A","93,316.65","93,273.48",109,"2,875","AMZ",3.5,1,4.6,"6,186",7,115,"Amazon","Health & Household","Large Standard-Size","AMZ","4.88 x 1.46 x 2.01 in",0.11,"N/A","Jul 20, 2021",,"No",55,"Amazon"
41.,"Dermend Arnica Bruise Cream with Vitamin K - Moisturizer for Bruising on Arms, Legs & Hands - 4.5 Oz","B00BWTKA94","https://www.amazon.com/dp/B00BWTKA94?psc=1","https://m.media-amazon.com/images/I/61GkQLavmSL._SX466_.jpg","Dermend",29.99,"8,264","8,264","5,000","215,983.37","215,920.82",100,"3,707","US",7.85,7,4.4,"12,988",6,118,"NuTru","Beauty & Personal Care","Large Standard-Size","FBA","5.47 x 1.97 x 3.07 in",0.33,"N/A","Mar 19, 2013",,"No",155,"NuTru"
49.,"VitaMedica Arnica Gel Plus 15 Healing Plant Compounds, Extra Strength Formulation for Bruising, Swelling, Joint Pain, Muscle Soreness & Stiffness, All-Natural, Plant-Based Pain Relief","B0C7LQ84X3","https://www.amazon.com/dp/B0C7LQ84X3?psc=1","https://m.media-amazon.com/images/I/710H5UYJiBL._AC_SX466_.jpg","VitaMedica",21.95,"7,243","5,962","N/A","173,940.56","122,884",183,"3,163","US",6.71,1,4.6,"2,610",7,157,"VitaMedica","Health & Household","Small Standard-Size","FBA","5.63 x 0.67 x 1.97 in",0.24,"N/A","Jun 9, 2023",,"No",32,"VitaMedica"
39.,"VitaMedica Arnica + Vitamin K Bruise Recovery Cream for Face & Under-Eye, Sensitive-Skin Formula, Post-Procedure Support, 0.5 oz","B004EBS25Q","https://www.amazon.com/dp/B004EBS25Q?psc=1","https://m.media-amazon.com/images/I/61tcLIVAAkL._SY450_.jpg","VitaMedica",29.95,"6,073","5,654","4,000","182,847.99","163,392.14",128,"4,931","US",8.22,1,4.3,"1,626",7,31,"VitaMedica","Beauty & Personal Care","Large Standard-Size","FBA","4.45 x 0.87 x 1.30 in",0.06,"N/A","Nov 29, 2010",,"No",183,"VitaMedica"
34.,"SKINTENSIVE Arnica Bruise Cream for Thin Skin - Moisturizing Arnica Cream, Vitamin K C and E, Skin Renewal, 4 Oz","B07D7NVWN7","https://www.amazon.com/dp/B07D7NVWN7?psc=1","https://m.media-amazon.com/images/I/716lAJ3lYoL._SY355_.jpg","SKINTENSIVE",29.94,"5,462","5,462","4,000","163,533.74","163,533.61",112,"8,204","US",8.39,1,4.3,"5,231",9,57,"Skintensive","Health & Household","Large Standard-Size","FBA","3.39 x 2.80 x 3.03 in",0.42,"N/A","Apr 5, 2019",,"No",82,"Skintensive"
46.,"Boiron Arnicare Bruise Gel for Relief of Pain, Inflammation or Swelling, Soreness, and Discoloration - Non-greasy and Fragrance-Free - 1.5 oz","B01CMDX3ZG","https://www.amazon.com/dp/B01CMDX3ZG?psc=1","https://m.media-amazon.com/images/I/71AVJLw92RL._AC_SX569_.jpg","Boiron",6.36,"2,564","1,881","N/A","20,758.29","12,057.63",141,"19,260","AMZ",4.24,8,4.5,"9,317",9,31,"Amazon","Health & Household","Large Standard-Size","AMZ","4.88 x 1.50 x 2.00 in",0.13,"N/A","Mar 6, 2016",,"No",119,"Amazon"
8.,"Miracle Plus Arnica Cream Bruise Relief Lotion For Bruising And Swelling On Skin | Arnica Montana Extra Strength Vitamin K Cream | Moisturizing Formula Skin Care Gel With Horse Chestnut, 4 Fl Oz","B002XO9JMG","https://www.amazon.com/dp/B002XO9JMG?psc=1","https://m.media-amazon.com/images/I/61Dq0sEh2aL._SY741_.jpg","Miracle Plus",14.99,"2,366",148,"N/A","45,234.27","2,221.8",194,"8,943","US",7.4,1,4.2,"10,336",9,85,"Pure Valley","Health & Household","Large Standard-Size","FBA","7.95 x 1.73 x 2.48 in",0.3,"N/A","Mar 29, 2010",,"No",191,"Pure Valley"
